metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.5317264427989722,0.5505666780471805,0.09124220064251536,0.5054850120140861,0.5581528955741476,48
mcd,6.8425951850259255,6.73293645147317,0.6964411122959187,6.660270434121039,7.054941935762111,48
stoi,0.19345578662204724,0.18787838086755548,0.06288044326946607,0.17541403312326048,0.21216568581430964,48
log_f0_rmse,0.27769966807815816,0.25583619444759054,0.09274355677735747,0.25230112151240636,0.3059758960549528,48
pesq,1.035611590060095,1.0044424831867236,0.48641866514711224,0.9003644237527624,1.1752098629561567,48
lsd,2.0977834041666665,2.0788256,0.3438787581417256,2.0021899877083333,2.1982500028125,48
wer,0.10773784474295145,0.06458333333333335,0.12059929481203263,0.07523887005166029,0.1441862219557843,48
dur_ratio,1.0491257900245594,1.0230689545261349,0.15426009153771342,1.0107808381982413,1.0981618422110246,48
