metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.8357876626153787,0.8343504667282104,0.03783030782231599,0.8249058181419968,0.8465478019167979,48
mcd,5.866925172634995,5.83654347630114,0.4134429949456063,5.751590331663373,5.988862155173654,48
stoi,0.1828674166083322,0.19386618815264695,0.06298151441991595,0.16413979837535794,0.20000792535217707,48
log_f0_rmse,0.2773431537789824,0.23997534098290751,0.1057301301206697,0.24959998642757605,0.3081694321652238,48
pesq,1.2348486011226971,1.1439701914787292,0.47881226059024545,1.1046730141465864,1.3746110407635568,48
lsd,2.114324177083333,2.02091515,0.34608485554288154,2.0179779128125004,2.219657641875,48
wer,0.06369174294618497,0.050125313283208,0.06824206854013641,0.04518968542336108,0.0836394262301549,48
dur_ratio,0.8962924654371528,0.8948717948717948,0.030999147650277357,0.8876835990079018,0.9051045488457585,48
