sample_index,phone_idx,phone,ref_dur,gen_dur,ratio
0,0,dˈute,0.352,0.384,1.090909090909091
0,1,rˈepedˌe,0.384,0.384,1.0
0,2,sə,0.384,0.448,1.1666666666666667
0,3,kˈaʊtsʲʲ,0.384,0.352,0.9166666666666666
0,4,nˌiʃte,0.384,0.448,1.1666666666666667
0,5,mˈartoɾʲˌʲ,0.384,0.608,1.5833333333333333
0,6,pe,0.384,0.384,1.0
0,7,"kˌoɾidˈor,",0.384,0.384,1.0
0,8,aʃˈa,0.352,0.352,1.0
0,9,am,0.384,0.416,1.0833333333333333
0,10,sə,0.384,0.352,0.9166666666666666
0,11,mˈor,0.384,0.384,1.0
0,12,ku,0.384,0.384,1.0
0,13,kˈudʒetul,0.384,0.448,1.1666666666666667
0,14,ɨn,0.384,0.32,0.8333333333333334
0,15,"pəkˈat.""",0.384,0.256,0.6666666666666666
0,16,ɨn,0.352,0.32,0.9090909090909092
0,17,fˈatsa,0.384,0.448,1.1666666666666667
0,18,mˈedikuluɪ,0.384,0.096,0.25
0,19,ʃʲa,0.384,0.224,0.5833333333333334
0,20,"infˈirmjeɾˌeɪ,",0.384,0.288,0.7499999999999999
0,21,ˈeme,0.384,0.32,0.8333333333333334
0,22,sˈemnə,0.384,0.288,0.7499999999999999
0,23,dˌokumentˈele,0.384,0.256,0.6666666666666666
0,24,nˌetʃesˈaɾe.,0.384,0.384,1.0
1,0,pˌersonˈaʒul,0.512,0.608,1.1875
1,1,ɨl,0.512,0.608,1.1875
1,2,ridˈikə,0.544,0.32,0.5882352941176471
1,3,uʃˈor,0.512,0.48,0.9375
1,4,din,0.512,0.512,1.0
1,5,spɾɨntʃˈeanə,0.544,0.16,0.29411764705882354
1,6,ʃi,0.512,0.48,0.9375
1,7,pɾivˈiɾea,0.544,0.8,1.4705882352941175
1,8,luɪ,0.512,0.48,0.9375
1,9,ekspɾˈimə,0.512,0.48,0.9375
1,10,un,0.544,0.512,0.9411764705882353
1,11,dispɾˈets,0.512,0.64,1.25
1,12,reɡˈal.,0.544,0.064,0.11764705882352941
1,13,lukɾˈurile,0.512,0.416,0.8125
1,14,dˌemaɾˈeazə,0.512,0.48,0.9375
1,15,fˈɔarte,0.544,0.48,0.8823529411764705
1,16,"pɾˈost,",0.512,0.384,0.75
1,17,dˈɔamnə.,0.544,0.576,1.0588235294117645
2,0,ka,0.32,0.384,1.2
2,1,sə,0.32,0.32,1.0
2,2,nu,0.32,0.352,1.0999999999999999
2,3,asˈiste,0.32,0.384,1.2
2,4,la,0.352,0.416,1.1818181818181819
2,5,un,0.32,0.224,0.7
2,6,spektˈakol,0.32,0.384,1.2
2,7,pe,0.32,0.384,1.2
2,8,kˌaɾe,0.32,0.32,1.0
2,9,nˈerviɪ,0.352,0.32,0.9090909090909092
2,10,jeɪ,0.32,0.352,1.0999999999999999
2,11,navˈeaw,0.32,0.416,1.2999999999999998
2,12,səl,0.32,0.032,0.1
2,13,pˈɔatə,0.352,0.256,0.7272727272727273
2,14,"supˈorta,",0.32,0.32,1.0
2,15,pɾˈefeɾˌə,0.32,0.32,1.0
2,16,sə,0.32,0.352,1.0999999999999999
2,17,se,0.32,0.32,1.0
2,18,refudʒjˈeze,0.352,0.192,0.5454545454545455
2,19,ɨn,0.32,0.224,0.7
2,20,"salˈon,",0.32,0.32,1.0
2,21,de,0.32,0.32,1.0
2,22,ˈunde,0.32,0.192,0.6
2,23,aˈuzea,0.352,0.32,0.9090909090909092
2,24,vˈaɡ,0.32,0.288,0.8999999999999999
2,25,ˌaminˌintsəɾʲˈile,0.32,0.32,1.0
2,26,ʃi,0.32,0.288,0.8999999999999999
2,27,sˌomatsˈiɪle.,0.352,0.384,1.090909090909091
3,0,pɾin,0.352,0.384,1.090909090909091
3,1,kərtsʲˈile,0.352,0.416,1.1818181818181819
3,2,dˌumneavˌɔastɾə,0.352,0.352,1.0
3,3,ˌaɾətˈatsʲʲ,0.352,0.416,1.1818181818181819
3,4,kə,0.352,0.32,0.9090909090909092
3,5,ɨn,0.352,0.128,0.36363636363636365
3,6,ˌoɾʲtʃˌe,0.352,0.224,0.6363636363636365
3,7,"vjˈatsə,",0.352,0.32,0.9090909090909092
3,8,kjˈar,0.352,0.352,1.0
3,9,ʃi,0.352,0.16,0.4545454545454546
3,10,ɨn,0.352,0.32,0.9090909090909092
3,11,tʃea,0.352,0.128,0.36363636363636365
3,12,maɪ,0.352,0.384,1.090909090909091
3,13,"nˌefeɾitʃˈitə,",0.352,0.32,0.9090909090909092
3,14,eɡzˌistə,0.352,0.384,1.090909090909091
