metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.8469085159401099,0.8519583642482758,0.03592593712947641,0.8364676924732823,0.8569285053138931,48
mcd,5.966236677187339,5.860191454583925,0.6419239526767044,5.802920734108477,6.1612946299979905,48
stoi,0.18428589548118268,0.18467315450467195,0.04800878704776085,0.17035859351974064,0.19757676584183811,48
log_f0_rmse,0.26677703230856326,0.2503841268044752,0.07054401373718434,0.2476715936301,0.28806783460679886,48
pesq,1.2805709435294073,1.2711844444274902,0.4370589950152638,1.1536017705996833,1.401712407063072,48
lsd,2.119695002083333,1.9928211,0.39299353756980243,2.0106881503645835,2.24209181671875,48
wer,0.06787669853726143,0.069047619047619,0.062458149934028796,0.0510747138235014,0.0859322818896702,48
dur_ratio,0.9091593986538337,0.9108595617023441,0.038359726890316276,0.8979486285723655,0.9197433670011211,48
