metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.8323937555154165,0.837914764881134,0.030986146063945536,0.8234065011143684,0.8411091033990185,48
mcd,5.812233492711937,5.819118697982007,0.4591895055673308,5.676814852379506,5.940702854192553,48
stoi,0.18563926617657855,0.18010016144839963,0.07611493412118354,0.16450816253989212,0.2074045104019559,48
log_f0_rmse,0.25181456939617036,0.2304031513849512,0.08625140373151947,0.2285651560488748,0.2771948606940346,48
pesq,1.1702594589442015,1.0551291704177856,0.5021856582759047,1.0364359353513766,1.3204674810792008,48
lsd,2.0254201375,1.98758095,0.2701433277623586,1.951956317552083,2.104871274114583,48
wer,0.07122374815873267,0.0,0.08986793582641621,0.04724985334045898,0.09862412148493557,48
dur_ratio,0.8831977355659489,0.8753881987577639,0.03888668051104322,0.8725206849375262,0.8943447325425841,48
