metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.8330297097563744,0.831734299659729,0.03472772766552471,0.8232260257626572,0.842763921742638,48
mcd,5.8400170262716555,5.939065588062318,0.5057971911748088,5.694182261180343,5.977873425587439,48
stoi,0.1776106706200027,0.16466738985086904,0.0628841976445453,0.16021995924960633,0.19541418214335682,48
log_f0_rmse,0.27091960701463846,0.2380569282394946,0.10146270633245502,0.24207690169446447,0.3012636018586007,48
pesq,1.169771334156394,1.0428248643875122,0.5391860512250838,1.0192858552094548,1.3238519121116648,48
lsd,2.116291941666667,2.0551569499999998,0.3470216128159592,2.0202661242708335,2.2199143573437494,48
wer,0.0671484591306825,0.0444664031620553,0.08327415698419006,0.04517440476589692,0.09198327885546043,48
dur_ratio,0.8725516897985722,0.8719704952581665,0.0422602047196374,0.8605229694200054,0.8846123420138301,48
