metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.5230623568594456,0.5459313756227495,0.09406750222102697,0.4958982824180275,0.5500557286757976,48
mcd,7.007244405400591,6.94261390760927,0.6760961570788572,6.824883022634019,7.206367299367689,48
stoi,0.20262333972202276,0.19057165515775898,0.08294999179298972,0.18004184328974213,0.2268013338234164,48
log_f0_rmse,0.2661759825950052,0.2542369982939645,0.06673662353518764,0.24819628352297368,0.2858316002684372,48
pesq,1.0003852459291622,0.860394060611725,0.48902273040960986,0.8627919095568362,1.1443864301079885,48
lsd,2.0623365645833336,2.03578115,0.30213858310320013,1.97932417171875,2.153074586666667,48
wer,0.11088284869728367,0.09166666666666665,0.11795516249302361,0.07909983613961213,0.14612137491636332,48
dur_ratio,1.039337709886384,1.04631711313493,0.13348058286067732,1.0005913558862853,1.0771538795546198,48
