metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.8249759351213773,0.8323948383331299,0.04236196990788134,0.8126581850461663,0.8370488131729265,48
mcd,6.057915610270759,6.058229039045031,0.5741220426859741,5.8981078768992585,6.219429352174937,48
stoi,0.19206079300845533,0.19344458340367454,0.057134127257954956,0.17598667121919945,0.2086225850306795,48
log_f0_rmse,0.2710570452570486,0.24976132227091147,0.08058527811787956,0.24875806009607276,0.2951490269037352,48
pesq,1.2826321676839143,1.2392915487289429,0.6977660617301968,1.0991143342068728,1.4882498962436026,48
lsd,2.1278103,1.9540869,0.410909421091319,2.0181133839583336,2.250683896875,48
wer,0.05723197051206371,0.043560606060606,0.07180087820520652,0.03768213096046007,0.07908655563147511,48
dur_ratio,0.8823253499620985,0.884282308059132,0.04394492228637177,0.8694973574521466,0.8945235576888654,48
