metric,mean,median,std
speaker_similarity,0.5093692118922869,0.5420930981636047,0.09111529858969394
mcd,7.087425338034563,7.01557130809634,0.7188893928150337
stoi,0.17875980438722192,0.16549836294503056,0.06560167618561182
log_f0_rmse,0.28252163635977173,0.26373444587733513,0.06834672446649313
pesq,1.1134722910355777,1.0047587752342224,0.6201890575469488
lsd,2.1883745193481445,2.1422433853149414,0.4113808572292328
wer,0.12488189248220706,0.09545454545454546,0.1138280051537301
dur_ratio,1.0124427574933654,0.9977477477477478,0.1556285530186701
