metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.8440378755331039,0.847431868314743,0.03858797805010612,0.8330365697542826,0.8548283264661828,48
mcd,6.635151457891034,6.4814843129650175,0.9378339166917433,6.379019741969537,6.91556584183291,48
stoi,0.16955651111264436,0.16186151255913028,0.05571250199365421,0.15381676244095133,0.18548501833641418,48
log_f0_rmse,0.27545269908697606,0.2514632260183459,0.08077609529307511,0.2525555536904004,0.29935841829583854,48
pesq,1.1272729159196995,1.1277323365211487,0.5053132779393484,0.9818029441242591,1.271144372336615,48
lsd,2.19110616875,2.1136291,0.38847024602778574,2.0826541527083333,2.305816657291667,48
wer,0.2041703334410594,0.105295566502463,0.21780180736932933,0.14561218856863845,0.26952902693738373,48
dur_ratio,0.8425908548270212,0.878597132976703,0.11091466174502478,0.808951076368795,0.8720546298533944,48
