metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.591543811849753,0.612532589197159,0.0966157070078543,0.5628409650607656,0.6175769365452727,48
mcd,7.036646427659118,6.9379282627844,0.6652254474063349,6.855284406333662,7.232670986779653,48
stoi,0.1814106185225417,0.1675110303198175,0.0508922863783314,0.16761136101911453,0.1965275072569786,48
log_f0_rmse,0.29076522212845973,0.26819131112892647,0.07123668244351436,0.27127747112314565,0.31155589390350175,48
pesq,1.062619268312119,0.9462404847145081,0.5544561956565044,0.9127350710633133,1.2211627188594625,48
lsd,2.1795052416666665,2.04585,0.39359158096898855,2.0646374203124997,2.2938509412499997,48
wer,0.13744638589897998,0.113247863247863,0.10537615745559971,0.10928840737316435,0.16845751377204568,48
dur_ratio,1.0200871718632922,1.03005418785122,0.12165247969484547,0.9858854113847143,1.0533600846579891,48
