rank,sample_index,text,mcd,speaker_similarity,ratio,duration_ratio,ref_dur_sec,gen_dur_sec,ref_tokens,gen_tokens
1,5,"Atât pelerinii, cât și paznicii, erau istoviți după drumul lung prin pustiul ars de soare.",12.771245695846334,0.5250780582427979,2.7224806201550384,2.7224806201550384,6.45,17.56,1,1
2,47,"Apoi i-a trimis și ei au plecat, iar ea a legat frânghia stacojie de fereastră.",11.972092334006332,0.486564964056015,2.576579730439349,2.576579730439349,6.0700625,15.64,1,1
3,36,"Jean de Nevers ascultase discuția aprinsă, cumpănind, pro și contra, argumentele aruncate în balanță",11.948152012048618,0.2638443112373352,2.177071509648127,2.177071509648127,8.81,19.18,1,1
4,28,"Fără îndoială, un înger uriaș sta undeva nevăzut, în picioare, cu aripile desfăcute în așteptarea su",11.932732147240973,0.023296723142266273,2.7289940828402366,2.7289940828402366,8.45,23.06,1,1
5,46,Omul răspunse cu un rânjet dulceag despre care numai surâsul mânghietor al unui crocodil ar da o ide,11.285810526183996,0.23949715495109558,3.0964028776978414,3.0964028776978414,6.95,21.52,1,1
