metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.6143393159608046,0.6534296703338625,0.08774070449662662,0.5892403794380526,0.6386524604917814,48
mcd,7.269693868996158,7.176994469824026,0.7647355021540613,7.064612774002689,7.493508058456401,48
stoi,0.186943676803678,0.1847136819228615,0.040855344956243905,0.17581242120058024,0.19880715599881763,48
log_f0_rmse,0.28103794091767664,0.27132583624803397,0.055032945510268556,0.26564050660694283,0.29709925383934016,48
pesq,1.0892309447129567,0.9635803401470185,0.5691445593080439,0.9334697272318104,1.2541768438337988,48
lsd,2.20778306875,2.2176553500000002,0.3864608798816825,2.0977261237500002,2.3196122884375003,48
wer,0.15135058357919326,0.1334382284382285,0.09795484448913684,0.12410108642674277,0.18004672896479582,48
dur_ratio,0.9910404525808926,1.01576602542987,0.1476021792296084,0.9464434093141643,1.0307296839549942,48
