metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.5838955666712919,0.596250939369202,0.09557007326828426,0.5752339671530351,0.5923325766503016,480
mcd,7.118484999900844,7.024523839649035,0.7434301190459118,7.0552030714116185,7.1848332050384585,480
stoi,0.18657569619363648,0.182833350293715,0.054901997101239004,0.18169632323261908,0.19135350127508863,480
log_f0_rmse,0.27932600588032075,0.262807559308668,0.06559667024989345,0.27368315208666033,0.2853074266627208,480
pesq,1.0696436496645523,0.9660216867923734,0.5473626218413044,1.0198912422095114,1.1190247351218325,480
lsd,2.1712946758333334,2.1253618,0.3745673486826457,2.13818086546875,2.2051200700572915,480
wer,0.13560533391930213,0.125128205128205,0.10654476438410651,0.12629808106931562,0.14538132143530433,480
dur_ratio,1.0123652843325883,1.0197087378640801,0.14333126630760545,0.9997073556902918,1.0252683540529957,480
