metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.5693804246435562,0.5923762345314025,0.07957304780115955,0.5461336328685283,0.5917213564061871,48
mcd,7.01799874426784,6.98386057059691,0.7241052177344766,6.822123997997937,7.234360424859704,48
stoi,0.17034065657880493,0.170699499445507,0.05519966392460391,0.15566617063868848,0.18648155112145492,48
log_f0_rmse,0.2716455098291294,0.24919614192422648,0.0715726208829527,0.2519434794790419,0.29260253732572916,48
pesq,1.0995029540111618,0.954094707965851,0.502789265890604,0.9625272237850971,1.252566331314543,48
lsd,2.170454347916667,2.0776577,0.3381256367438718,2.0749435586458334,2.27077685453125,48
wer,0.13177018919140163,0.1318840579710145,0.11606102472225184,0.10064524059387832,0.16698562301744407,48
dur_ratio,1.0420970424702405,1.0,0.14615606387364477,1.0007617287870536,1.0852743129819478,48
