metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.8393284956614177,0.8423069417476654,0.03821296249770891,0.8359039722196757,0.8427300778807452,480
mcd,6.271908526853185,6.122020739557296,0.8448528850249335,6.198621237322555,6.349037259045552,480
stoi,0.17702465974577733,0.17013200426250005,0.05955628675461114,0.17192763440551914,0.18231682346716327,480
log_f0_rmse,0.27151749031902833,0.24716595975591654,0.08574951476182975,0.264184548871751,0.27924100539841945,480
pesq,1.1774447085035111,1.1389268636703491,0.5257822725794639,1.1307867625202925,1.2238176172365638,480
lsd,2.1459072402083335,2.0824752,0.376647483965025,2.1120497165833334,2.179939977041667,480
wer,0.13480242864902223,0.0666666666666666,0.17724111609022208,0.11954223041250207,0.1511973755968554,480
dur_ratio,0.8656480913552713,0.8876645332689288,0.08677341454408936,0.8575510044469793,0.8733099453851669,480
