metric,mean,median,std,ci_lower,ci_upper,n
speaker_similarity,0.5515460507571697,0.565006518959999,0.08736046903572006,0.5268019656849403,0.576910718475158,48
mcd,6.931895891674176,6.93599347988744,0.6628507931379445,6.75360291470677,7.130509643628701,48
stoi,0.1832081764725583,0.1742285333895515,0.06868539525744673,0.16476347561331245,0.20266659710680948,48
log_f0_rmse,0.2817839715840719,0.2724157802154255,0.0651732139192917,0.26344066918646525,0.30149888221976506,48
pesq,1.0521627147682016,1.0065164864063276,0.5756265822587643,0.8973548583608745,1.2256695494948275,48
lsd,2.16395185625,2.0569948,0.39167396947442984,2.0569266256770833,2.2793414944270833,48
wer,0.11146315276643841,0.0871212121212121,0.0963426110996021,0.0855123968188137,0.13963375478808793,48
dur_ratio,1.0178028661769447,1.02542735042735,0.115786781332311,0.9851908504236426,1.0509849653698151,48
